MP ID,MP Name,Region Id,GL Code,GL Name,Parent ASIN,ASIN,Review Id,Review Title,review_text,rating,Brand,Verbatim,Verbatim Score,Topic Id,L1 Topic,L2 Topic,L3 Topic,l4_defect,Polarity,Submission Date,Last Updated DateTime,Week Number
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,68039698701,"be sure to have a backup, because it's not reliable.","[update]:  reminder - they only expect it to work for a year, since the warranty is only 12 months.<br /><br />after 2 years of ownership:<br /><br />it died in year one (9 months) from new (unresponsive, blue light only).  I had to ship it back, it was replaced.  dealing with support to get an RMA was relatively easy.  I was without a camera for about 2 weeks from failure, contact, ship to them, inspect, return shipping.<br /><br />it died again, in year two (14 months after first replacement).  support has been _significantly worse_ to work with so far.  after 10 days of excessive hassle dealing with support, they.....declared it out of warranty.",1,,it died in year one. 9 months,0.52,462fec0e-33a2-4a1d-b63c-bc2d19e91ab1,used or damaged or expired product issues,durability and longevity,durability,dead in few years,negative,2025-04-22T16:33:26.000Z,2025-07-28T03:53:33.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75473387661,Love this little webcam!,"Clever little thing! I love the true physical PTZ and the very high quality image of this little webcam. Good low-light performance too, since the lens & sensor are so good: low-light image doesn’t get all grainy, and the camera automatically increases or decreases the exposure level to adapt. (I believe it does this digitally: I don’t see the aperture changing in the physical lens when it happens)<br /><br />This is the one that screws to a tripod bolt (standard thread & size) or clips to the top of your monitor— this is NOT the InstaLink360 that goes on the end of a selfie stick. No battery in this one, no onboard data card, it must plug into your phone or laptop— but in that role, damn is it good.<br /><br />InstaLink does provide control software for it, but I haven’t had to download it yet: the AI-interpreted hand signals work fine for my purposes.",5,,Good low-light performance too,0.85,fad8a7de-ced7-4e4c-9584-3209c41b2ae4,product component related specs or functionalities,weather suitability,night vision,good low light performance,positive,2025-04-13T20:25:19.000Z,2025-08-22T09:43:38.000Z,2025/4/12 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75633307671,They guarantee their products,"My daughter purchased this for me, as I am a volunteer tutor who aids adults to pass their GED on line via my computer.  Even though it stopped working,  their tech representatives made it ease to send back at no charge and no quibble repairs made.  It’s a great camera that you can also use a whiteboard for presentations to students.  Buy this, you won’t be disappointed!",5,,"Buy this, you wont be disappointed",0.67,34c9ddcf-4c3d-4c4c-9d4c-1657a3c32a10,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-04-22T10:16:45.000Z,2025-08-01T09:51:36.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75654803181,Bad company,Terrible company and terrible product. Company pushed an ota update that bricked the device and wants $120 to fix it,1,,Bad company,0.79,e2be5d6a-e337-4a73-becd-c7238001876a,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,negative,2025-04-23T08:44:13.000Z,2025-08-17T03:44:37.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75692846961,not up to snuff,"If you need this to work flawlessly, it won't",3,,"If you need this to work flawlessly, it won't",0.77,cda3ee9c-c9b1-4eee-9ae5-7dbfb719751f,product component related specs or functionalities,functionality overall,functionality overall,does not work flawlessly,negative,2025-04-25T03:29:19.000Z,2025-08-24T16:16:56.000Z,2025/4/19 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75969902811,Great for groups and as a webcam,Super impressive. I use it for group meetings where I can manually trigger a saved spot in the room depending on who is speaking. Works great as a regular webcam with a nice big sensor. Price seems worth it for the tech. I put it on top of a selfie pole with a stand as it is light enough to not need a full tripod.,5,,Super impressive,0.93,20bce0b1-fa4d-457d-9193-099a23001a08,miscellaneous,customer preference,customer satisfaction,customer satisfaction - generic,positive,2025-05-09T20:55:14.000Z,2025-08-03T21:09:52.000Z,2025/5/3 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,75984716721,Very Good Webcam.,"This camera is extremly good.  It comes with a ton of features like face tracking and different modes for various need cases, including desktop display (showing something on your desk, not the computer desktop).  It folds up when not being used, so the lens is basically closed, and it has a green light around the base when active.  There are a lot of reviews online that go into detail, check them out if you really want a deep dive, but for my money, this is the best value short of a DSLR.",5,,This camera is extremly good,0.82,207796e5-020c-4719-b96b-442fa04c588d,product component related specs or functionalities,quality,camera quality,camera quality - generic,positive,2025-05-10T18:21:51.000Z,2025-07-17T14:59:30.000Z,2025/5/10 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76050417791,Wont work after a couple months.,"Camera is great when it works. Now it wont connect to my desktop and it wont download the updated driver. Tried it on my laptop and it work for about 2 weeks and now, again it wont connect to either of my computers.",1,,Wont work after a couple months,0.75,c9ec0bb3-a974-46ad-9609-eeca04ec0d0b,used or damaged or expired product issues,durability and longevity,durability,does not work in few months,negative,2025-05-14T00:00:28.000Z,2025-08-14T23:29:35.000Z,2025/5/10 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76089344611,Not worth the trouble. Terrible Software & Customer Service.,"Great product but the software is terrible, rarely works, and the customer service is the worst I have seen.",1,,Great product,0.97,eb2e4768-51ec-4674-9348-ea3d492a6a76,product component related specs or functionalities,quality,quality overall,quality overall - generic,positive,2025-05-15T19:24:34.000Z,2025-08-12T23:46:03.000Z,2025/5/10 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76350689441,Unreliable and frequently fails to connect,"This camera is incredibly fussy about whether it will connect audio and video for Teams and Zoom calls.  In may instances it will be working and then turn itself off the minute I make a Teams call.  Answering a Teams call it may work if I have time to unplug it and then plug it back in before the call goes to VM.  The problem is so bad that work colleagues are insisting that I ditch this camera.  It's going in the trash can and I'm buying something else.  On the positive side, when it did decide to connect it worked  great in terms of tracking and the image quality was very good.",1,,Unreliable and frequently fails to connect,0.91,70d18c87-ce55-4c8a-b207-3e20f860fa02,product component related specs or functionalities,connectivity interference,connectivity overall,unreliable,negative,2025-05-28T19:44:23.000Z,2025-08-06T23:30:03.000Z,2025/5/24 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76474809421,Gets you compliments,This camera is great! I use it almost daily and has great quality. I love the face tracking and that I can configure it to my stream deck.,5,,This camera is great,1.0,264373aa-6d56-4fff-aa6b-f5ef9ba4c3cd,product component related specs or functionalities,quality,camera quality,camera quality - generic,positive,2025-06-03T19:18:27.000Z,2025-08-22T09:32:31.000Z,2025/5/31 00:00
1,1 - US,1,147,gl_pc,B0BCF8QYH4,B0B826KS4B,76785295171,Does the job as a webcam!,simply LOVE this little guy. keep thinking its a little robot but its not. im a fan of gadgets so as soon as i saw this thing online it intrigued me. it does the trick as a webcam for sure. great quality but i dont think i have a powerful enough machine to get all of the full experience out of it because it can do A LOT. the tracking feature is fun and helps out when filming or showing off stuff on camera. lol. Takes a loot of experimentation to understand just how it all works but thats half the fun i find in these type of gadgets and tech things!? lol. its very fun for what it is. ,3,,great quality,1.0,ebaee85d-f28f-4c12-a38c-80103f381f86,product component related specs or functionalities,quality,quality overall,quality overall - generic,positive,2025-06-18T17:12:41.000Z,2025-08-24T16:26:26.000Z,2025/6/14 00:00
